distanciaNumero,distanciaDescripcion,banderaId,lat,lng,sucursalNombre,id,sucursalTipo,provincia,direccion,banderaDescripcion,localidad,comercioRazonSocial,comercioId,sucursalId
381.9852,381.99 kilómetros,1,-34.6467684,-58.5140065,411 - LINIERS,15-1-411,Autoservicio,AR-C,Patron 6273 ( Liniers) None,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,411
381.9984,382.00 kilómetros,1,-34.6593474,-58.5795191,5137 - VILLA LUZURIAGA,15-1-5137,Autoservicio,AR-B,Juan D Peron 763,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,5137
382.0146,382.01 kilómetros,1,-34.647987,-58.521936,608 - CAPITAL FEDERAL,15-1-608,Autoservicio,AR-C,Tonelero 6906,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,608
382.0221,382.02 kilómetros,2,-34.62177,-58.37116,"DEFENSA [Av. San Juan 387, 391, 395",24-2-145,Autoservicio,AR-C,"Av. San Juan 387, 391, 395",FARMACITY,Capital Federal,Farmacity S.A.,24,145
382.0236,382.02 kilómetros,3,-34.621333,-58.368478,Paseo Colón 1179,10-3-627,Autoservicio,AR-C,Av. Paseo Colón 1179,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,627
382.0276,382.03 kilómetros,3,-34.647473,-58.519847,Lisandro de Latorre 790,10-3-733,Autoservicio,AR-C,Av. Lisandro De Latorre 790,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,733
382.0353,382.04 kilómetros,1,-34.6416461,-58.4887571,456 - VILLA LURO,15-1-456,Autoservicio,AR-C,Av Juan B. Alberdi 4459 (Villa Luro) None,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,456
382.0473,382.05 kilómetros,1,-34.6366914,-58.4617314,508 - FLORES,15-1-508,Autoservicio,AR-C,Varela 605/609 (Flores) None,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,508
382.0486,382.05 kilómetros,1,-34.6401732,-58.4813056,263 - PARQUE AVELLANEDA,15-1-263,Autoservicio,AR-C,Av Lacarra 574,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,263
382.0939,382.09 kilómetros,1,-34.666094,-58.616849,1035 - MORON,15-1-1035,Autoservicio,AR-B,Cl Aguero Esquina Balcarce 935,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,1035
382.1367,382.14 kilómetros,3,-34.6192,-58.3615,Jumbo Madero Harbour,9-3-5213,Hipermercado,AR-C,E.R. Dellpiane E/ Lanteri Y Peñaloz 0,Jumbo,CIUDAD AUTONOMA BUENOS AIRES,Jumbo Retail Argentina S.A.,9,5213
382.1432,382.14 kilómetros,1,-34.629614,-58.425882,592 - BOEDO,15-1-592,Autoservicio,AR-C,Av La Plata 1216 (Boedo) None,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,592
382.1974,382.20 kilómetros,3,-34.622468,-58.385616,Av. San Juan 1374,10-3-486,Autoservicio,AR-C,Av. San Juan 1374,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,486
382.2103,382.21 kilómetros,1,-34.622075,-58.383908,532 - CONSTITUCIÓN,15-1-532,Autoservicio,AR-C,Av San Juan 1261(Constitucion) None,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,532
382.2628,382.26 kilómetros,2,-34.638025,-58.480351,BLAISTEN - Outlet,3001-2-230,Autoservicio,AR-C,Av. Juan Bautista Alberdi 3840,BLAISTEN,Capital Federal,EASY S.A.,3001,230
382.2628,382.26 kilómetros,2,-34.638025,-58.480351,BLAISTEN - Floresta,3001-2-180,Supermercado,AR-C,Av.Juan Bautista Alberdi 3928,BLAISTEN,Capital Federal,EASY S.A.,3001,180
382.2791,382.28 kilómetros,2,-34.63556,-58.46741,DIRECTORIO [Av. Directorio 2896/290,24-2-158,Autoservicio,AR-C,Av. Directorio 2896,FARMACITY,Capital Federal,Farmacity S.A.,24,158
382.2835,382.28 kilómetros,3,-34.622603,-58.391341,Entre Ríos 1192,10-3-593,Autoservicio,AR-C,Entre Ríos 1192,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,593
382.2854,382.29 kilómetros,1,-34.6228846,-58.3931835,271 - SAN CRISTÓBAL,15-1-271,Autoservicio,AR-C,Av San Juan 1932,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,271
382.3171,382.32 kilómetros,1,-34.6230367,-58.3959072,SAN JUAN ,12-1-124,Hipermercado,AR-C,Av. San Juan 2168,COTO CICSA,Capital Federal,Coto Centro Integral de Comercialización S.A.,12,124
382.3322,382.33 kilómetros,1,-34.634479,-58.4640708,DIRECTORIO ,12-1-48,Supermercado,AR-C,Av. Directorio 2647,COTO CICSA,Flores,Coto Centro Integral de Comercialización S.A.,12,48
382.3468,382.35 kilómetros,1,-34.6236734,-58.4014697,5 - SAN CRISTÓBAL,15-1-5,Autoservicio,AR-C,Av San Juan 2641,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,5
382.3473,382.35 kilómetros,1,-34.6190759,-58.3729926,198 - SAN TELMO,15-1-198,Autoservicio,AR-C,Cl Bolivar 953,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,198
382.3488,382.35 kilómetros,1,-34.6245,-58.4066,San Juan.,9-1-696,Hipermercado,AR-C,Avenida San Juan 2862,Vea,CIUDAD AUTONOMA BUENOS AIRES,Jumbo Retail Argentina S.A.,9,696
382.3553,382.36 kilómetros,2,-34.62371,-58.40217,JUJUY2 [Av. San Juan 2701],24-2-133,Supermercado,AR-C,Av. San Juan 2701,FARMACITY,Capital Federal,Farmacity S.A.,24,133
382.3812,382.38 kilómetros,2,-34.633182,-58.4592722,Membrillar [Av. Directorio 2324],24-2-309,Supermercado,AR-C,Av. Directorio 2324,FARMACITY,Capital Federal,Farmacity S.A.,24,309
382.3829,382.38 kilómetros,1,-34.6247055,-58.4097384,124 - BOEDO,15-1-124,Autoservicio,AR-C,Av San Juan 3153,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,124
382.3835,382.38 kilómetros,1,-34.6214599,-58.3899576,349 - CONSTITUCIÓN,15-1-349,Autoservicio,AR-C,Humberto Primero 1696,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,349
382.3854,382.39 kilómetros,1,-34.6376,-58.484265,620 - CAPITAL FEDERAL,15-1-620,Autoservicio,AR-C,Lacarra 252,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,620
382.3858,382.39 kilómetros,1,-34.6362515,-58.4767987,741 - FLORESTA,15-1-741,Autoservicio,AR-C,Av Juan Bautista Alberdi (Floresta) 3643 None,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,741
382.3866,382.39 kilómetros,3,-34.633156,-58.459408,Directorio 2320,10-3-725,Autoservicio,AR-C,Av. Directorio 2320,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,725
382.3924,382.39 kilómetros,1,-34.65422,-58.572136,5315 - RAMOS MEJIA,15-1-5315,Autoservicio,AR-B,Alvarado 934,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,5315
382.3944,382.39 kilómetros,3,-34.625078,-58.412616,Av. San Juan 3334,10-3-763,Autoservicio,AR-C,Av. San Juan 3334,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,763
382.3957,382.40 kilómetros,1,-34.618135,-58.369851,GIUFRA,3-1-1068,Autoservicio,AR-C,Av. Paseo Colon 849,DEHEZA S.A.I.C.F. e I.,CAPITAL FEDERAL,Deheza S.A.I.C.F. e I.,3,1068
382.4063,382.41 kilómetros,3,-34.618745,-58.374322,Perú 916,10-3-408,Autoservicio,AR-C,Perú 916,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,408
382.4149,382.41 kilómetros,3,-34.626152,-58.420171,Av. San Juan 3900,10-3-414,Autoservicio,AR-C,Av. San Juan 3900,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,414
382.4241,382.42 kilómetros,1,-34.6459,-58.5309,Gral Paz Capital,23-1-6219,Autoservicio,AR-C,Av. Gral. Paz 11200,Axion Energy,Ciudad Autonoma de Buenos Aires,Pan American Energy LLC Argentina,23,6219
382.4375,382.44 kilómetros,1,-34.6266864,-58.4245818,254 - BOEDO,15-1-254,Autoservicio,AR-C,Av San Juan 4231,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,254
382.444,382.44 kilómetros,1,-34.6273133,-58.4286401,394 - PARQUE CHACABUCO,15-1-394,Autoservicio,AR-C,Av Directorio 134 (Caballito) None,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,394
382.4513,382.45 kilómetros,1,-34.629103,-58.439518,547 - PARQUE CHACABUCO,15-1-547,Autoservicio,AR-C,Av Del Barco Centenera 801 (Parque Chacabuco ) None,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,547
382.4581,382.46 kilómetros,3,-34.626760,-58.426136,Av. San Juan 4351,10-3-415,Autoservicio,AR-C,Av. San Juan 4351,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,415
382.4661,382.47 kilómetros,3,-34.627914,-58.433365,Directorio 483,10-3-575,Autoservicio,AR-C,Directorio 483,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,575
382.4865,382.49 kilómetros,3,-34.631045,-58.452608,Directorio 1766,10-3-324,Autoservicio,AR-C,Directorio 1766,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,324
