distanciaNumero,distanciaDescripcion,banderaId,lat,lng,sucursalNombre,id,sucursalTipo,provincia,direccion,banderaDescripcion,localidad,comercioRazonSocial,comercioId,sucursalId
531.0631,531.06 kilómetros,1,-29.4018,-66.8531,La Rioja II,9-1-705,Supermercado,AR-F,Avenida Alem Leandro Niceforo 678,Vea,LA RIOJA,Jumbo Retail Argentina S.A.,9,705
531.5594,531.56 kilómetros,1,-29.226695,-67.437710,LRJ - Chilecito - 25 de Mayo ,2009-1-18,Supermercado,AR-F,Av. 25 De Mayo 10,CETROGAR,Chilecito,CETROGAR  S.A,2009,18
532.1243,532.12 kilómetros,1,-29.411181,-66.855400,LRJ - La Rioja - J V Gonzales ,2009-1-16,Supermercado,AR-F,J. V. Gonzalez 173,CETROGAR,La Rioja,CETROGAR  S.A,2009,16
532.1477,532.15 kilómetros,1,-29.4114,-66.8554,BAZAR AVENIDA SA - La Rioja,2008-1-57,Tradicional,AR-F,Joaquin V. Gonzalez 151,MEGATONE,La Rioja,BAZAR AVENIDA S.A.,2008,57
532.1925,532.19 kilómetros,2,-29.411481,-66.856755,La Rioja,10-2-135,Supermercado,AR-F,25 De Mayo 151,Market,La Rioja,INC S.A.,10,135
532.2213,532.22 kilómetros,1,-29.41202,-66.855683,RIOJ-LA RIOJA-PELAGIO LUNA-MU,2011-1-144,Supermercado,AR-F,Dr Pelagio Baltazar Luna 519,Musimundo,LA RIOJA,Electronica Megatone S.A,2011,144
532.3817,532.38 kilómetros,1,-29.41439,-66.85222,LA RIOJA,19-1-02626,Autoservicio,AR-F,Av.Rivadavia Y Benj.De La Vega 0,FULL,La Rioja,Operadora de Estaciones de Servicios S.A.,19,02626
532.3936,532.39 kilómetros,2,-29.41437,-66.85275,RIORIVADAVIA [Rivadavia 364],24-2-154,Supermercado,AR-F,Rivadavia 364,FARMACITY,LA RIOJA,Farmacity S.A.,24,154
532.492,532.49 kilómetros,1,-29.4146061,-66.8554970,La Rioja,2005-1-74,Supermercado,AR-F,Rivadavia 536,Naldo,La Rioja,Naldo Lombardi SA,2005,74
532.5553,532.56 kilómetros,1,-29.4146391,-66.8577401,La Rioja,2002-1-146,Tradicional,AR-F,San Martin 89,Fravega,La Rioja,FRAVEGA S A C I E I,2002,146
533.1467,533.15 kilómetros,2,-29.41925,-66.86148,RIO PERON [AV. Pte J D Peron 1002],24-2-149,Supermercado,AR-F,Av. Pte J D Peron 1002,FARMACITY,LA RIOJA,Farmacity S.A.,24,149
