distanciaNumero,distanciaDescripcion,banderaId,lat,lng,sucursalNombre,id,sucursalTipo,provincia,direccion,banderaDescripcion,localidad,comercioRazonSocial,comercioId,sucursalId
513.5185,513.52 kilómetros,1,-29.13705,-59.24454,CORRIENTES GOYA,19-1-01220,Autoservicio,AR-W,Av.Mazzantti Y Mendoza 0,FULL,Goya,Operadora de Estaciones de Servicios S.A.,19,01220
514.9437,514.94 kilómetros,1,-30.240227,-68.746882,SJUA-JACHAL-ECHEGARAY-MU,2011-1-225,Autoservicio,AR-J,Echegaray 456,Musimundo,JACHAL,Electronica Megatone S.A,2011,225
515.3096,515.31 kilómetros,2,-23.144838,-64.326263,Oran,11-2-1052,Hipermercado,AR-A,Av Pueyrredon Y Av Palacios None,Changomas,SAN RAMON DE LA NUEVA ORAN,Wal Mart Argentina S.R.L.,11,1052
515.908,515.91 kilómetros,1,-32.426197,-63.738309,1513 - HERNANDO,15-1-1513,Autoservicio,AR-X,Bv Rivadavia 300,Supermercados DIA,CORDOBA,DIA Argentina S.A,15,1513
516.3207,516.32 kilómetros,2,-23.135733,-64.328187,Maxi Comodin ,6-2-21,Supermercado,AR-A,Arenales 270,Maxi Comodin,San Ramon de la Nueva Oran,Alberdi S.A.,6,21
516.673,516.67 kilómetros,1,-23.132488,-64.32287,SALT-ORAN-PELLEG-MU,2011-1-254,Autoservicio,AR-A,Avda Carlos Pellegrini 327,Musimundo,ORAN,Electronica Megatone S.A,2011,254
516.7071,516.71 kilómetros,1,-23.132181,-64.322944,SAL - Oran - C Pellegrini ,2009-1-21,Supermercado,AR-A,Carlos Pellegrini 330,CETROGAR,Oran,CETROGAR  S.A,2009,21
516.8642,516.86 kilómetros,1,-23.1308,-64.3261,SM 140 Orán - Salta.,9-1-140,Supermercado,AR-A,20 De Febrero Esq. Guemes 0,Vea,ORAN,Jumbo Retail Argentina S.A.,9,140
517.6622,517.66 kilómetros,1,-27.417031,-59.037020,Fontana,2000-1-838,Tienda Fisica,AR-H,"Jujuy - Loc.11,12,13 - 4800",MUSIMUNDO,FONTANA,CARSA SA,2000,838
517.8749,517.87 kilómetros,1,-31.44938,-60.92963,SAFE-ESPERANZA-BELG-MU,2011-1-28,Autoservicio,AR-S,Gral Manuel Belgrano 2078,Musimundo,ESPERANZA,Electronica Megatone S.A,2011,28
517.906,517.91 kilómetros,1,-31.449940,-60.929910,QUIJOTE ESPERANZA,2-1-153,Supermercado,AR-S,Belgrano 1998,La Anonima,Esperanza,S.A. Importadora y Exportadora de la Patagonia,2,153
518.771,518.77 kilómetros,1,-28.510183,-59.044039,Bella Vista,2000-1-333,Tienda Fisica,AR-W,Buenos Aires 880,MUSIMUNDO,BELLA VISTA,CARSA SA,2000,333
518.8854,518.89 kilómetros,5,-27.446553,-59.021331,Resistencia,11-5-1058,Hipermercado,AR-H,Avenida Marconi 2279,Walmart SuperCenter,RESISTENCIA,Wal Mart Argentina S.R.L.,11,1058
518.9108,518.91 kilómetros,1,-28.5123,-59.042919,1077 - BELLA VISTA (CTES.),15-1-1077,Autoservicio,AR-W,Buenos Aires 669/77 None,Supermercados DIA,CORRIENTES,DIA Argentina S.A,15,1077
519.5978,519.60 kilómetros,1,-28.521807,-59.037290,CRR - Bella Vista - Corrientes ,2009-1-29,Supermercado,AR-W,Corrientes 1056,CETROGAR,Bella Vista,CETROGAR  S.A,2009,29
520.5516,520.55 kilómetros,1,-32.4086,-63.2565,Villa María II.,9-1-232,Supermercado,AR-X,Boulevard Velez Sarsfield 411,Vea,VILLA MARIA,Jumbo Retail Argentina S.A.,9,232
520.6118,520.61 kilómetros,1,-32.4078411,-63.2485416,1060 - VILLA MARIA,15-1-1060,Autoservicio,AR-X,Leandro N. Alem 429,Supermercados DIA,CORDOBA,DIA Argentina S.A,15,1060
520.8172,520.82 kilómetros,1,-27.436114,-59.002872,CHA - Resistencia - Ecommerce,2009-1-80,Web,AR-H,Av. 25 De Mayo 1850,CETROGAR,Resistencia,CETROGAR  S.A,2009,80
521.0903,521.09 kilómetros,1,-32.4117,-63.2453,BAZAR AVENIDA SA - Villa Maria,2008-1-6,Tradicional,AR-X,San Martin 49,MEGATONE,Villa Maria,BAZAR AVENIDA S.A.,2008,6
521.0964,521.10 kilómetros,1,-32.4115858,-63.2442781,Villa Maria,2005-1-36,Supermercado,AR-X,Corrientes 1163,Naldo,Villa Maria,Naldo Lombardi SA,2005,36
521.1372,521.14 kilómetros,2,-32.41123,-63.23989,CBAVMaria [25 de Mayo 156/160],24-2-175,Autoservicio,AR-X,25 De Mayo 156,FARMACITY,VILLA MARIA (DPTO. GENERAL SAN MART,Farmacity S.A.,24,175
521.155,521.16 kilómetros,1,-32.41195,-63.243227,CDBA-VILLA MARIA-SM-MU,2011-1-174,Autoservicio,AR-X,Gral Jose De San Martin 68,Musimundo,VILLA MARIA,Electronica Megatone S.A,2011,174
521.757,521.76 kilómetros,1,-27.4551,-58.9913,Resistencia,9-1-674,Supermercado,AR-H,Avenida Alberdi Juan Bautista 528,Vea,RESISTENCIA,Jumbo Retail Argentina S.A.,9,674
521.9201,521.92 kilómetros,1,-27.451196,-58.990058,CHA - Resistencia - Vedia,2009-1-7,Supermercado,AR-H,Juan Domingo Peron 201,CETROGAR,Resistencia,CETROGAR  S.A,2009,7
521.9629,521.96 kilómetros,1,-27.451799,-58.989561,Resistencia Perón,2000-1-14,Tienda Fisica,AR-H,Juan D. Perón 131,MUSIMUNDO,RESISTENCIA,CARSA SA,2000,14
521.972,521.97 kilómetros,1,-27.4515,-58.9895,BAZAR AVENIDA SA - Resistencia,2008-1-445,Tradicional,AR-H,Juan Domingo Peron 147,MEGATONE,Resistencia,BAZAR AVENIDA S.A.,2008,445
521.9818,521.98 kilómetros,1,-27.4514458,-58.9894067,Chaco,2005-1-80,Supermercado,AR-H,Presidente Juan Domingo Perón 146,Naldo,Resistencia,Naldo Lombardi SA,2005,80
522.0239,522.02 kilómetros,1,-27.4521613,-58.9889032,Resistencia,2002-1-124,Tradicional,AR-H,Juan Domingo Peron 75,Fravega,Resistencia,FRAVEGA S A C I E I,2002,124
522.1483,522.15 kilómetros,1,-27.463383,-58.986470,Resistencia Las Heras,2000-1-534,Tienda Fisica,AR-H,Av. Las Heras 790,MUSIMUNDO,RESISTENCIA,CARSA SA,2000,534
522.2093,522.21 kilómetros,2,-27.46272,-58.98592,CHALASHERAS [Las Heras 736],24-2-163,Autoservicio,AR-H,Las Heras 736,FARMACITY,Resistencia,Farmacity S.A.,24,163
